,pageids,terms,titles,terRms
42,"['17214443', '1179794', '195248', '2812665', '1756204', '40633874', '587878', '285294', '31536092', '4021591', '781984', '7391446', '32295952', '18480', '4091896', '8840994', '1439268', '36540108', '5813189', '21848', '42306009', '384886', '2108181', '430380', '2772885', '14126826', '42048', '552107', '667788', '586307', '1443213', '82385', '22659508', '39242947', '7381403', '21298802', '39338825', '5961115', '30865215', '5090546', '2275690', '233897', '1620725', '2989216', '928084', '417929', '6328005', '1189445']",,"['Plastic surgery', 'Eye surgery', 'Laparoscopic surgery', 'Fetal surgery', 'Orthognathic surgery', 'Outpatient surgery', 'Laser surgery', 'Cataract surgery', 'Surgery theory', 'Sex reassignment surgery', 'Veterinary surgery', 'Remote surgery', 'Refractive surgery', 'Psychic surgery', 'Coronary artery bypass surgery', 'Orthopedic surgery', 'Minimally invasive spine surgery', 'Sleep surgery', 'Surgery simulator', 'Natural orifice transluminal endoscopic surgery', 'Microfracture surgery', 'Gastric bypass surgery', 'Facial feminization surgery', 'Endoscopic endonasal surgery', 'Sham surgery', 'Neurosurgery', 'Pediatric plastic surgery', 'Surgery obstruction', 'Open aortic surgery', 'Microsurgery', 'Father of surgery', 'Ablative brain surgery', 'Strabismus surgery', 'Trauma surgery', 'Rhytidectomy', 'Duodenal switch', 'Glaucoma surgery', 'Craniofacial surgery', 'Operating theater', 'Inguinal hernia surgery', 'Adjustable gastric band', 'Bloodless surgery', 'History of intersex surgery', 'LASIK', 'Distraction osteogenesis', 'Dental degree', 'Pharyngeal flap surgery', 'Stereotactic surgery']",Surgery
43,"['2954769', '6915197', '3091859', '15048490', '5885283', '11154884', '47978099', '22044074', '680115', '1061913', '26410', '557994', '445724', '2110699', '44093', '12835695', '11848762', '8726400', '470286', '14905896', '2900960', '18252764', '75917', '27399297', '3482085', '217662', '334037', '1403831', '602919', '189037', '24210226', '47148883', '2845500', '25849403', '517391', '1065584', '6760075', '11045825', '13311819', '11850475', '7236219', '2978833', '30971990', '743012', '19592340', '7663818', '42357488', '32718903', '416754', '4490456', '286191', '24632279', '4949370']",,"['Doctor of Physical Therapy', 'Physical therapy education', 'Canine physical therapy', 'Occupational therapy', 'Aquatic therapy', 'Therapy', 'Craniosacral therapy', 'Low level laser therapy', 'Extracorporeal shockwave therapy', 'Physical therapy for Duchenne muscular dystrophy', 'Music therapy', 'Conversion therapy', 'Play therapy', 'Attachment therapy', 'Insulin shock therapy', 'Physical culture', 'Gestalt therapy', 'Audio therapy', 'Electroconvulsive therapy', 'Sex therapy', 'Chelation therapy', 'Magnet therapy', 'Emotionally focused therapy', 'Acceptance and commitment therapy', 'Hyperthermia therapy', 'Dialectical behavior therapy', 'Endodontic therapy', 'Social therapy', 'Management of cerebral palsy', 'Adventure therapy', 'Physical examination', 'Therapeutic ultrasound', 'Chromotherapy', 'Attack therapy', 'Schema therapy', 'Martial arts therapy', 'Writing therapy', 'Acetabular labrum', 'Sex reassignment therapy', 'Physical exercise', 'Management of chronic headaches', 'Photodynamic therapy', 'Virtual reality therapy', 'Trauma Systems Therapy', 'Management of multiple sclerosis', 'Facial toning', 'Telerehabilitation', 'Dry needling', 'Neurologic music therapy', 'Mode deactivation therapy', 'Gait trainer', 'Hydrotherapy', 'Torticollis']",Physical Therapy
44,"['191941', '14023503', '636831', '4585729', '1129641', '52974', '22406107', '41384660', '439973', '555466', '26634144', '9253629', '620368', '14472567', '18963870', '2407129', '14621467', '237248', '10604681', '1574427', '2406917', '43288938', '676718', '149881', '670449', '1243554', '541992', '879168', '34468318', '406618', '1248359', '12940851', '24030426', '2994579', '1177467', '16649245', '20927937', '2555993', '32511084', '947595', '1032780', '6952874']",,"['Medical library', 'Medical humanities', 'Republican Scientific Medical Library', 'Literature', 'Wilderness medical emergency', 'Medical ethics', 'Medical home', 'Scientific literature', 'Medical education', 'Medical tourism', 'Unified Medical Language System', 'Systematic review', 'Board certification', 'Case report', 'Jewish medical ethics', 'IMRAD', 'Public health journal', 'Online Mendelian Inheritance in Man', 'Electronic health record', 'Shahid Beheshti University', 'International Medical Commission on Bhopal', 'System for Information on Grey Literature in Europe', 'Ibn Sina Academy of Medieval Medicine and Sciences', 'International emergency medicine', 'Special library', 'Pharmacovigilance', 'Medical uses of silver', 'Medical model of autism', 'Quackwatch', 'Bungarus', 'Herbalism', 'Transformation of culture', 'Medical equipment management', 'Emergency medicine', 'Translational research', 'Field triage', 'Bioethics', 'Telehealth', 'Health information on the Internet', 'Yeungnam University', 'Vaccine court', 'Preventive healthcare']",Medical Literature and Resources
45,"['34771', '30873212']",,"['1877', 'Broken Saints']",Medical Photos and Illustration
46,"['7697517', '80381', '21021107', '2459566', '3585815', '1810614', '351581', '36094374', '490201', '1465997', '22175792', '990505', '3069166', '18079605', '35319154', '463734', '9819863', '2159778', '8954400', '2815180', '1835064', '311822', '52182837', '10120909']",,"['Health', 'Reproductive health', 'Public health', 'Health equity', 'Health education', 'Health insurance', 'Race and health', 'Mental health', 'Health psychology', 'Occupational safety and health', 'Health communication', 'Health informatics', 'Substance Abuse and Mental Health Services Administration', 'Toxic masculinity', 'UCLA School of Public Health', 'Occupational health psychology', 'Movember', 'Health effects of tobacco', 'College health', 'Rural health', 'Health information on Wikipedia', 'Sociology of health and illness', 'Sexual health clinic', 'Medical journalism']",Men's Health
47,"['52584914', '51606', '44318934', '13312969', '80381', '6142110', '53716092', '19356', '4982305', '990505', '14860845', '47843651', '1001165', '14885874', '6134342', '455909', '5732350', '2312819', '38722', '7532615', '463734', '311822', '179580', '4786873', '31300489']",,"['Mental health', 'Mental health professional', 'National Institute of Mental Health', 'Substance Abuse and Mental Health Services Administration', 'National Institute of Mental Health and Neurosciences', 'Global mental health', 'Mental health in aviation', 'Mental disorder', 'Psychiatric and mental health nursing', 'Clinical mental health counseling', 'Mental health first aid', 'Causes of mental disorders', 'Mental health literacy', 'Mental Health Inequality', 'Health', 'Mental health law', 'Use of technology in treatment of mental disorders', 'Psychiatric hospital', 'The Myth of Mental Illness', 'Mental disorders and gender', '21st Century Cures Act', 'Treatment of mental disorders', 'Psychiatric survivors movement', 'Health professional', 'Public health']",Mental Health
48,"['2032', '1585862', '877445', '57723', '15803189', '39218436', '2869', '21826111', '5750', '1019091', '5260658', '5289263', '354031', '31110904', '30872201', '156778', '34846823', '148098', '33462899', '984731', '16794864', '22720886', '59743', '26534505', '82974', '18333977', '31595228', '15682819', '27447448', '37762066', '48061429', '15236476', '39337193', '48453044', '255475', '2236341', '8146278', '52449973', '14247118', '4080078', '29806465', '50015690', '1306122', '240889', '14894253', '929357', '17446992', '9819241', '1121222', '10828', '1055090', '15279478', '8750561', '3735409', '816012', '24917469', '411851', '26975661', '620412']",,"['Test anxiety', 'Psychological stress', 'Acute stress reaction', 'Stress management', 'Occupational stress', 'Posttraumatic stress disorder', 'Prenatal stress', 'Social anxiety', 'Separation anxiety disorder', 'Effects of stress on memory', 'Panic attack', 'Intergroup anxiety', 'Minority stress', 'Combat stress reaction', 'Anxiolytic', 'Vivette Glover', 'Adjustment disorder', 'Critical incident stress management', 'Mental breakdown', 'Hypochondriasis', 'Stress in medical students', 'Nomophobia', 'Antalarmin', 'Stress in the aviation industry', 'Social Interaction Anxiety Scale', 'Antenatal depression', 'Remote location stress reaction', 'Agoraphobia', 'Caregiver stress', 'Worry', 'Compassion fatigue', 'Depersonalization', 'Transgenerational stress inheritance', 'Panic disorder', 'Racing thoughts', 'Cognitive behavioral therapy', 'Acting', 'Systematic desensitization', 'Neuropeptide Y', 'Fear of flying', 'Attachment and Health', 'Exposure therapy', 'Maternal bond', 'Blushing', 'Animal models of depression', 'Dental fear', 'Sensory art therapy', 'Psychoneuroimmunology', 'Sexual dysfunction', 'Eye movement desensitization and reprocessing', 'Beyondblue', 'Disordered eating', 'Symptoms of victimization', 'Fear', 'Undercover operation', 'Phobophobia', 'Elevated plus maze', 'Psychological resilience', 'Memory and trauma']",Anxiety and Stress
49,"['29806465', '39218436', '19477293', '22481627', '1295947', '16407460', '35500653', '13190302', '20529621', '2890996', '25258288', '52316', '38977046', '175357', '20558148']",,"['Postpartum depression', 'Evolutionary approaches to depression', 'Depression in childhood and adolescence', 'Antenatal depression', 'Biology of depression', 'Rating scales for depression', 'Late life depression', 'Animal models of depression', 'Inbreeding depression', 'Dysthymia', 'History of depression', 'Epidemiology of depression', 'Oxytocin treatment for postpartum depression', 'Mood disorder', 'Endogenous depression']",Depression
50,"['9985739', '8125395', '29113700', '26477248', '10940192', '35197211', '972242', '2225882', '33398847', '9014', '26516784', '56285', '25714482', '34814189', '436022', '1519875', '1119334', '21266752', '31212987', '10007751', '30971990', '6632841', '18567040', '22081794', '33375083', '22082794', '3435236', '2764306', '1246414', '27975319', '45228334', '24027138', '21619765', '436831', '16845153', '5391428', '2363287', '2274616', '44457141']",,"['Developmental disability', 'Intellectual disability', 'Sexual abuse and intellectual disability', 'Disability abuse', 'Reading disability', 'Special education', 'Disability', 'Assessment of basic language and learning skills', 'Sexuality and disability', 'Disability rights movement', 'Developmental psychology', 'Disability art', 'Floortime', 'Disability studies', 'Best Buddies International', 'Mental disorders diagnosed in childhood', 'Reading for special needs', 'Supported living', 'Youth and disability', 'Dysgraphia', 'Autism spectrum', 'Community integration', 'Conditions comorbid to autism spectrum disorders', 'Behavioral cusp', 'Fairview Training Center', 'Response Prompting Procedures', 'Fine motor skill', 'Developmental impact of child neglect in early childhood', 'Pediatric neuropsychology', 'Wechsler Intelligence Scale for Children', 'Group home', 'Pragmatic language impairment', 'Gait trainer', 'Supported employment', 'Motivations for joining the Special Olympics', 'Atlanta Speech School', 'Diagnosis of Asperger syndrome', 'Visual learning', 'SHALVA']",Learning and Developmental Disabilities
51,"['649100', '1673370', '4726434', '4081458', '47814122', '2050909', '159209', '46881815', '2675164', '26518079', '536032', '471852', '11357700', '3233755', '2105018', '35760675', '737439', '2953684', '3668047', '17157119', '1806538', '14511650', '9687089', '22081794', '205878', '34760961', '685457', '381184', '2424129', '16664441', '66391', '14552378', '17796742', '4766424', '5552077', '5071079', '39488884', '2274616', '33912', '23690864', '4918', '2733733', '1073739', '33932515', '17160947']",,"['Attention deficit hyperactivity disorder predominantly inattentive', 'Adult attention deficit hyperactivity disorder', 'Attention deficit hyperactivity disorder controversies', 'Social construct theory of ADHD', 'Sluggish cognitive tempo', 'Treatment of Tourette syndrome', 'Working memory training', 'Test of Variables of Attention', 'Trace amine', 'Cyberpsychology', 'Methylphenidate', 'Lisdexamfetamine', 'Adderall', 'Developmental disorder', 'Dextroamphetamine', 'Disruptive mood dysregulation disorder', 'Nootropic', 'Phenethylamine', 'TAAR1', 'Friendship', 'Dopamine receptor', 'Wechsler Intelligence Scale for Children', 'Controversy surrounding psychiatry', 'Child Mania Rating Scale', 'Mental disorders diagnosed in childhood', 'Vemma', 'Directed attention fatigue', 'Feingold diet', 'Dore Programme', 'Cyclothymia', 'Digital native', 'Child psychopathology', 'Impulsivity', 'The Gow School', 'Working memory', 'Hemoencephalography', 'Conduct disorder', 'Stimulant', 'Neurobiological effects of physical exercise', 'Disinhibition', 'Neurodiversity', 'Trident Academy', 'Social cue', 'Bipolar I disorder', 'Delayed gratification']",ADD and ADHD
52,"['30081245', '8096785', '8154069', '34837447', '8857878', '10985068', '1813186', '18403271', '1115829', '2810347', '1037464', '4096659', '806123', '54224675', '430716', '921327', '1726567', '2312819']",,"['Nursing', 'Nursing school', 'Nursing home care', 'Nursing diagnosis', 'Nursing credentials and certifications', 'Gerontological nursing', 'Nursing assessment', 'Nursing bra', 'Pediatric nursing', 'Psychiatric and mental health nursing', 'Nursing and Midwifery Council', 'Emergency nursing', 'Bullying in nursing', 'Neonatal nursing', 'Nurse education', 'Critical care nursing', 'Nursing documentation', 'Forensic nursing']",Nursing
53,"['236137', '4788647', '925356', '162615', '653', '3130699', '9005643', '43839116', '15824969', '389615', '22948027', '37451236', '1581682', '436825', '8857878', '15671052', '6632841', '261925', '38045107', '24987493', '490201', '9234672', '230857', '2957741', '21464996', '1814650', '3206495', '18403271', '430716', '1771587', '44736876', '3680367', '48614', '3379099', '23299088', '5871010', '44433731', '712395', '2548579', '38904838', '1301620', '183232', '38390', '8840098', '1810614', '196452', '6134342', '2848980', '48726', '38557', '276257', '589422']",,"['Assisted living', 'Elderly care', 'Activities of daily living', 'Nursing home care', 'Residential care', 'Home care', 'Assisted suicide', 'Retirement community', 'Independent living', 'Health care', 'Caring for people with dementia', 'Inova Health System', 'Caregiver', 'Adult daycare center', 'Child care', 'Gerontological nursing', 'Group home', 'Rehabilitation psychology', 'Hospice', 'Vulnerable adult', 'Assistive technology', 'Green House Project', 'Citizens Memorial Healthcare', 'Home automation for the elderly and disabled', 'Respiratory therapist', 'Geriatrics', 'Horse care', 'Health care reforms proposed during the Obama administration', 'Health care in the Palestinian territories', 'Cancer survivor', 'Sandwich generation', 'Temasek Cares', 'Terminal illness', 'Digital health', 'Pregnancy', 'Rural poverty', 'Caregiving by country', 'Nursing', 'Health insurance', 'Voluntary euthanasia', 'Nurse practitioner', 'Chaplain', 'Outpatient commitment', 'Occupational therapist', 'Cardiogenic shock', 'Thanatology', 'Shoppers Drug Mart', 'Mental health professional', 'Disability insurance', 'Dementia', 'International Rescue Committee', 'Health equity']",Assisted Living and Long Term Care
54,"['18761393', '6423', '9503943', '6646507', '681283', '258979', '66575', '21525', '12642673', '3055427', '3426093', '37161190', '16063653', '21416764', '17200325', '18023995', '1843196', '27024757', '13115986', '771326', '7371778', '261773', '29243665', '51597941', '1997732', '52637243', '6112487', '659087', '1273857', '1074205', '2998847']",,"['Nutrition', 'Outline of nutrition', 'Nutrition facts label', 'Parenteral nutrition', 'Nutrition and pregnancy', 'Nutrition transition', 'Nutritional rating systems', 'Animal nutrition', 'Nutritional anthropology', 'Vegetarian nutrition', 'Nutritional anemia', 'Equine nutrition', 'Prenatal nutrition', 'Nutritionist', 'Sports nutrition', 'European Prospective Investigation into Cancer and Nutrition', 'Nutritional genomics', 'Malnutrition', 'Supplemental Nutrition Assistance Program', 'Nutrition psychology', 'Nutritional gatekeeper', 'WIC', 'Nutritional neuroscience', 'Sport dog nutrition', 'Puppy nutrition', 'NutritionDay', 'Feeding tube', 'Calorie', 'Nutrient', 'Therapeutic food', 'School meal']",Nutrition
55,"['1667172', '29113700', '52386', '249583', '3078037', '182051', '14205251', '8460', '7269401', '17749944', '10646', '2775632', '12639357', '296445', '5040', '724161', '64083', '17100', '70384', '477917', '925262', '23251', '232176', '29243665', '250130', '3094723', '904984', '147019', '294793', '9139910', '1412102', '659087', '325954', '2810349', '32434', '32587', '31079386', '32591', '2051345', '1312814', '904386', '168053', '168536', '300069', '7267134', '56511', '138301', '243539', '1773596', '38498', '358093', '20523', '7029997', '14970862', '790468', '710034', '2144540', '33583']",,"['Dieting', 'Hay diet', 'National Diet Building', 'Vegetarianism', 'Special route', 'Veganism', 'Axiom schema of specification', 'Veal', 'Sensory deprivation', 'Phenylketonuria', 'Vegetalismo', 'Cave bear', 'Junk food', 'Inedia', 'Kuvasz', 'Equestrian facility', 'Sap', 'Air Force Specialty Code', 'Control of fire by early humans', 'Kingfisher', 'Food', 'Red colobus', 'Basingstoke Canal', 'Prenatal nutrition', 'History of vegetarianism', 'Cape dwarf chameleon', 'Underweight', 'Popcorn', 'Impala', 'Isopoda', 'Superstreet', 'Water softening', 'Rationing', 'Synbranchiformes', 'Supplemental Nutrition Assistance Program', 'Autism spectrum', 'Seabird', 'Enopla', 'Vulture fund', 'Lemur', 'Medieval cuisine', 'Esophageal cancer', 'Dwarfism', 'Toxaphene', 'Dark shyshark', 'Dialysis', 'Great horned owl', 'Bulimia nervosa', 'Amazon river dolphin', 'Skylab 4', 'Addax', 'Pulfrich effect', 'Finite model theory', 'Prehistoric medicine', 'Common minke whale', 'Frog', 'World Health Organization', 'Maasai people']",Special and Restricted Diets
56,"['2296', '4561837', '125494', '2984618', '2966163', '23888680', '30845073', '8317987', '506980', '47862666', '5876', '31589792', '66554', '864202', '25152862', '39645506', '30428636', '12644', '1581671', '611768', '14207125', '2944872', '92512', '637009', '193276', '51469', '2404301', '37996', '17556082', '46573', '193310', '4050188', '636587', '18474403', '36319728', '10905892', '141922', '263487', '1351471', '36382757', '838449', '86190', '512662', '186383', '197296', '8097', '22907964', '425379', '182303', '3187173', '34527764', '781661', '18536611', '20556798', '23004551', '731740', '403334', '566975', '29749248', '36762240']",,"['Cholesterol total synthesis', 'Lipoprotein', 'Campesterol', 'Ezetimibe', 'Lovastatin', 'Margarine', 'Steroid', 'Ursodeoxycholic acid', 'Niacin', 'Fibre supplements', 'Bile acid', 'Jejunoileal bypass', 'Shrimp and prawn as food', 'Shellfish Association of Great Britain', 'Adrenocortical hormone', 'Rosuvastatin', 'Lipogenesis', 'Canagliflozin', 'Niosome', 'Healthy diet', 'Adrenal gland', 'Red yeast rice', 'Dietary fiber', 'Squalene monooxygenase', 'Coronary artery disease', 'Mold', 'Framingham Risk Score', 'Glycolysis', 'Fish protein powder', 'VAV Life Sciences', 'Criticism of fast food', 'Oat', 'Oatmeal', 'Neuroactive steroid', 'Trans fat', 'Congenital adrenal hyperplasia', 'Chromatography in blood processing', 'International nonproprietary name', 'Ancel Keys', 'Cooking oil', 'Probiotic', 'Lorcaserin', 'Ketoconazole', 'Health effects of wine', 'Canola', 'Santaris Pharma', 'Drug coupon', 'Paired difference test', 'Food energy', 'Atheroma', 'Hyperglycerolemia', 'Myocardial infarction', 'Cortisone', 'Dairy product', 'Cardiovascular disease', 'Sanofi', 'Ranbaxy Laboratories', 'Earwax', 'Clarithromycin', 'Shrimp']",Cholesterol Issues
57,"['3277', '457926', '54118', '2383985', '51579279', '470084', '104444', '470087', '40056381', '54117', '5573286', '4597367', '25669714', '6386724', '5533217', '2941264', '2941266', '4840621', '3261719', '1148672', '622759', '34730803', '3055427', '327995', '54099', '54115', '26229', '1257053', '30500', '31485669', '32512', '7378933', '14538619', '54110', '32509', '37130699', '39794453', '32541', '38233257', '43336577', '14538634', '7888444', '781984', '4268766', '37996', '21525', '27024757', '1947092', '7371778', '2891306']",,"['Vitamin', 'Dietary supplement', 'B vitamins', 'Multivitamin', 'Vitamin A deficiency', 'Vitamin and mineral supplementation for dialysis patients', 'Vitamin K', 'Vitamin D and respiratory tract infections', 'Vitamin B6', 'Vitamin C', 'Megavitamin therapy', 'Vitamin B12', 'Calcium supplement', 'Health freedom movement', 'Bodybuilding supplement', 'Cholecalciferol', 'Folate', 'Orthomolecular medicine', 'Vitamin K2', 'Vitamin D and neurology', 'Riboflavin', 'Hypervitaminosis A', 'Pantothenic acid', 'Ergocalciferol', 'Hypervitaminosis D', 'Micronutrient', 'Antioxidant', 'Hyperhomocysteinemia', 'Retinol', 'Biotin', 'Nutrition and pregnancy', 'Essendon Football Club supplements saga', 'Folate deficiency', 'Health effects of sunlight exposure', 'Food fortification', 'Iron supplement', 'Thiamine', 'Nutrition and cognition', 'Vegan nutrition', 'Short bowel syndrome', 'Nutritional neuroscience', 'Outline of nutrition', 'Niacin', 'Tocotrienol', 'Gastric bypass surgery', 'Juice Plus', 'Orkla Group', 'Food chemistry', 'Cyanocobalamin', 'Nutrition']",Vitamins and Supplements
58,"['5186108', '900138', '49696870', '8917820', '1129167', '32039834', '902683', '1881464', '4063979', '2536716', '14894253', '487691', '52704312', '51599956', '1560270', '1118041', '8115128', '498206', '14449632', '1078092', '1303118', '9566513', '25271733', '287542', '8005', '32029168', '15837161', '19637986', '6142110', '8053575', '2025904', '245973', '782', '30250243', '19159857', '11823793', '20854161', '414350', '314628', '14777871', '637333', '3489080', '2061975']",,"['Dental hygienist', 'Dentistry', 'Dental public health', 'Dental therapist', 'Dental implant', 'Dental fear', 'Dental floss', 'Dental trauma', 'Special needs dentistry', 'Dental restoration', 'Dentist', 'Dental material', 'Dental laboratory', 'Dental health diets for dogs', 'Tooth decay', 'Dental emergency', 'Dental sealant', 'Dental amalgam controversy', 'Maternal health', 'Dental extraction', 'Dental health diets for cats', 'Remineralisation of teeth', 'Dental braces', 'Health professional', 'Dental Service Organizations', 'Tooth enamel', 'Mouthwash', 'Mouth ulcer', 'Gingivitis', 'Tooth polishing', 'Dental composite', 'Fluoride varnish', 'Scaling and root planing', 'Dentistry for babies', 'Dental abscess', 'Chlorhexidine', 'Dental avulsion', 'Panoramic radiograph', 'Burning mouth syndrome', 'Meth mouth', 'Pericoronitis', 'Stomatitis', 'Dentures']",Oral and Dental Care
59,"['6189822', '45314824', '543434', '29547715', '1402262', '33680836', '36947731', '6714117', '21771772', '26353918', '3353234', '53647029', '42784395', '1497502', '21846300', '46431158', '28103166', '1038491', '3546312', '48896837', '3006095', '15363302', '2183811', '1466489', '39337624', '23593', '29297150', '37974905', '40276009', '65344', '1954771', '477500', '4027896', '2348583', '11891685']",,"['Pediatrics', 'American Academy of Pediatrics', 'Probiotics in pediatrics', 'Neonatology', 'Saint Petersburg State Pediatric Medical University', 'Denver Developmental Screening Test', 'Adolescent medicine', 'Necrotizing enterocolitis', 'Kawasaki disease', 'Alternative vaccination schedule', 'Sudden infant death syndrome', 'Syrup of ipecac', 'Sheila Singh Paul', 'Edwards A. Park (doctor)', 'Earl Bradley', 'Eddie Eagle', 'The Institutes for the Achievement of Human Potential', 'Julie Story Byerley', 'Michael Weitzman', 'Swaddling', 'Baby colic', 'Tummy time', 'American College of Pediatricians', 'Jane Aronson', 'Calvin C.J. Sia', ""Nationwide Children's Hospital"", 'National Vaccine Information Center', ""List of children's hospitals"", 'Treatment of human head lice', 'Carol Remmer Angle', 'Pediatric gastroenterology', 'Ellen Wright Clayton', 'Dicephalic parapagus twins', 'Karthik Nagesh', 'Irlen syndrome']",Pediatrics
60,"['14702448', '9695644', '5609097', '7521201', '707762', '31614353', '4441003', '5551141', '5828184', '192605', '297350', '25798453', '14831636', '1273580']",,"['Pharmacy', 'Online pharmacy', 'Pharmacy school', 'Pharmacy technician', 'Pharmacy automation', 'Doctor of Pharmacy', 'Appalachian College of Pharmacy', 'History of pharmacy', 'Bachelor of Pharmacy', 'Independent pharmacy', 'Pharmacist', 'Master of Pharmacy', 'Anthroposophic pharmacy', 'Compounding']",Pharmacy
61,"['1274833', '179962', '2388', '633467', '186625', '19593553', '178203', '2870', '2869', '10293733', '9311172', '1099396', '13803076', '313009', '21477352', '427922', '25970819', '21605714', '11632', '249958', '322210', '22034247', '1340774', '395889', '180121', '560876', '956434', '37441392', '24354', '297350', '18665076', '51036', '57762', '33632441', '25949', '334816', '102959', '1778796', '867542', '765424', '211273', '575176', '1181942', '185272', '4477411', '472608', '1012823', '16602954', '44152139', '37855063', '12686484', '18657630', '205627', '24229932', '218449', '5105731', '304263', '8607369', '1099391', '321556', '1330683', '29359671']",,"['Psychiatric medication', 'Drug', 'Antiparkinson medication', 'Psychoactive drug', 'Pharmaceutical drug', 'Route of administration', 'Topical medication', 'Antiplatelet drug', 'Immunosuppressive drug', 'Food and Drug Administration', 'Anticonvulsant', 'Medication overuse headache', 'New drug application', 'Anxiolytic', 'Prescription costs', 'Drug overdose', 'Pharmaceutical industry', 'Pharmacocybernetics', 'Drug rehabilitation', 'Recreational drug use', 'Combined drug intoxication', 'Adverse drug reaction', 'Drug prohibition law', 'Antimalarial medication', 'Orphan drug', 'Antihypertensive drug', 'Antipsychotic', 'Pharmacology', 'Prohibition of drugs', 'Drug interaction', 'Antidepressant', 'Drugs in pregnancy', 'Pharmaceutical marketing', 'Drug therapy problems', 'Pharmacy', 'Substance abuse', 'Nasal administration', 'Transdermal patch', 'Drug liberalization', 'Substance dependence', 'Illegal drug trade', 'Overmedication', 'Whoonga', 'Drug policy', 'Effect of psychoactive drugs on animals', 'Antifungal', 'Mechanism of action', 'Tardive dyskinesia', 'Designer drug', 'Beers Criteria', 'Depressant', 'Drug resistance', 'Drug nomenclature', 'Drug repositioning', 'Arguments for and against drug prohibition', 'Akathisia', 'Development and discovery of SSRI drugs', 'Tuberculosis management', 'Medical prescription', 'Atypical antipsychotic', 'Desomorphine', 'Polypharmacy']",Drugs and Medications
62,"['38509307', '14449632', '314696', '8774042', '22180696', '80381', '11038718', '21021107', '32890301', '2459566', '1810614', '8695082', '6142110', '1465997', '60976', '3616449', '4682876', '8767449', '4905289', '24008878', '541992', '2497276', '325717', '10120909', '570661', '33583']",,"['Professional degrees of public health', 'UCLA School of Public Health', 'Public health insurance option', 'Public health informatics', 'Public health genomics', 'Publicly funded health care', 'Health policy', 'Dental public health', 'GIS and public health', 'Health crisis', 'Environmental health officer', '10 Essential Public Health Services', 'Health', 'Health system', 'Public health surveillance', 'Health education', 'Health professional', 'Public health journal', 'Health communication', 'Environmental health', 'Health administration', 'Health psychology', 'Health equity', 'World Health Organization', 'Universal health care', 'Health visitor']",Public Health
63,"['16065669', '14449632', '12686484', '314696', '53417080', '3407706', '43142555', '3766266', '19893937', '1707966', '11038718', '7323614', '32890301', '265753', '2459566', '1810614', '2306731', '4279531', '490201', '24476986', '8695082', '42950497', '1465997', '60976', '1839465', '364031', '990505', '10338164', '41315495', '639389', '51902843', '4682876', '463734', '2159778', '8954400', '852274', '4683165', '570661', '13107678', '1831570']",,"['Health policy', 'Environmental health policy', 'Health system', 'Public health', 'Pharmaceutical policy', 'Health human resources', 'UC Berkeley School of Public Health', 'Health insurance', 'Social policy', 'Health policy and management', 'Health crisis', 'Health economics', 'Professional degrees of public health', 'European Observatory on Health Systems and Policies', 'Health psychology', 'Health impact assessment', 'Assistant Secretary of Defense for Health Affairs', 'Health equity', 'Drug policy', 'Policy analysis', 'Health advocacy', 'Health Resources and Services Administration', 'Mental health', 'Environmental health', 'Universal health care', 'Policy Monitoring', 'Global Health Council', 'Food policy', 'Reproductive health', 'Vaccination policy', 'Health insurance mandate', 'Health administration', 'Health education', 'Rural health', 'Environmental policy', 'World Health Assembly', 'Population health policies and interventions', 'Dental public health', 'Master of Public Policy', 'Heller School for Social Policy and Management']",Health Policy
64,"['17573654', '45259', '766544', '12337960', '763221', '40913342', '80381', '361308', '53376859', '6142110', '4062415', '6248865', '1929510', '1650021', '53741891', '21689547', '18079605', '47655600', '49163297', '491353', '763780', '35319154', '55530', '52292768', '19454783', '9543027', '252712', '2994173', '337353', '37423001', '483401', '17612272', '4614170']",,"['Occupational safety and health', 'European Agency for Safety and Health at Work', 'Occupational fatality', 'Occupational noise', 'Health and Safety Executive', 'Construction site safety', 'Workplace health surveillance', 'Occupational health psychology', 'International Commission on Occupational Health', 'Occupational disease', 'Health professional', 'Safety data sheet', 'Prevention through design', 'Occupational exposure banding', 'Health and safety hazards of nanomaterials', 'Occupational injury', 'Occupational heat stress', 'Health', 'Work accident', 'Personal protective equipment', 'International Chemical Safety Cards', 'Total Worker Health', 'Safety culture', 'Occupational hearing loss', 'Basic Occupational Health Services', 'Police officer safety and health', 'Safety', 'Workplace violence', 'Effective safety training', 'Biosafety', 'National Safety Council', 'Right to know', 'Grain facility occupational exposure']",Occupational Health and Safety
