,terms,titles,pageids
1436,xi'an,"['Xi baryon', 'Factor XI', 'WuXi AppTec', 'Xi Hydrae', 'Xi Andromedae']","['1558491', '20160294', '2781239', '21474902', '5481852']"
1437,xinjiang,"['Xinjiang', 'Lanzhou–Xinjiang Railway', 'Aral, Xinjiang', 'Xinjiang conflict', ""Incorporation of Xinjiang into the People's Republic of China"", 'Xinjiang Medical University', 'Xinjiang Television', 'Islamicisation and Turkicisation of Xinjiang', 'History of Xinjiang', 'Xinjiang Production and Construction Corps', 'Xinjiang Flying Tigers', 'China Xinjiang Airlines', 'List of administrative divisions of Xinjiang', 'Xinjiang raid', 'Xinjiang coins', 'Xinjiang cuisine', 'Islamic rebellion in Xinjiang (1937)', 'Lanzhou–Xinjiang High-Speed Railway', 'Northern Xinjiang Railway', 'Xinjiang University of Finance and Economics', 'Xinjiang University', 'Xinjiang Time', 'Southern Xinjiang Railway', 'September 2009 Xinjiang unrest', 'Soviet invasion of Xinjiang', 'Xinjiang Ba Yi Iron and Steel', 'Tajiks of Xinjiang', 'Kazakh exodus from Xinjiang', 'Xinjiang under Qing rule', 'Migration to Xinjiang']","['2171511', '1785505', '6750583', '21872576', '27997386', '47589418', '5674547', '45002899', '3461177', '7458581', '42517963', '30575851', '24361028', '30575356', '27716303', '7732193', '25862547', '51957602', '1708221', '17941520', '1524123', '6707860', '52527978', '19146706', '19862800', '1895640', '39225224', '12952504', '8845178', '47549546']"
1438,south central china,"['South China', 'South China tiger', 'Central Bank of the Republic of China (Taiwan)', 'South Central University for Nationalities', 'China–South Africa relations', 'Northern and southern China', 'China–South Korea relations', 'Central African Republic–China relations', 'Central South University', 'Central Asia–China gas pipeline', ""People's Bank of China"", 'South China University of Technology', 'Central China Normal University', 'China–Japan–South Korea trilateral summit', 'South China Morning Post', 'China–South Sudan relations', 'List of Neolithic cultures of China', 'China', 'Geography of China', 'Tectonics of the South China Sea', 'South Central Farm', '18th Central Committee of the Communist Party of China', 'Minzu University of China', 'West South Central States', '2007–08 South China AA season', 'Names of China', 'South Central United States', ""State Council of the People's Republic of China"", 'Central Commission for Discipline Inspection', 'China National Traditional Orchestra']","['37643298', '17889798', '24591600', '7634211', '336684', '8847580', '1526134', '3025039', '5405', '25640133', '20677627', '30362230', '7714083', '39831960', '23237', '7011454', '638875', '181690', '923361', '48906', '5268492', '665836', '31271367', '43124222', '6816735', '399382', '2101743', '44498', '44041683', '920048']"
1439,anhui,"['Anhui', 'Anhui University of Chinese Medicine', 'Politics of Anhui', 'Anhui Conch Cement', 'Anhui University of Technology', 'Zhili–Anhui War', 'Anhui–Jiangxi Railway', 'Anhui University of Science and Technology', 'Suzhou, Anhui', 'She County, Anhui', 'Anhui clique', 'Anhui Medical University', 'Anhui Foreign Economic Construction Group', 'Anhui Agricultural University', 'Anhui University of Finance and Economics', 'Anhui University', 'Fourth Encirclement Campaign against the Hubei-Henan-Anhui Soviet', 'Fifth Encirclement Campaign against the Hubei-Henan-Anhui Soviet', 'List of township-level divisions of Anhui', 'Anhui Normal University', ""Ma'anshan"", 'Hongcun', 'Xiaogang, Anhui', 'Heilongjiang Lava Spring F.C.', 'Wuhu', 'Chaohu', 'List of Major National Historical and Cultural Sites in Anhui', 'JAC Motors', 'Huangshan City', 'Hefei']","['105059', '19157057', '15963778', '39218156', '21333314', '19282357', '539465', '21532584', '19282286', '12837916', '1343935', '6033705', '31582064', '1988189', '27385883', '27385838', '144777', '49086334', '523756', '2311387', '18443884', '35903046', '28821135', '556829', '14531947', '5123166', '2896168', '2251614', '30483962', '6033749']"
1440,chongqing,"['Chongqing', 'Politics of Chongqing', 'Chongqing Jiangbei International Airport', 'Chongqing Dangdai Lifan F.C.', 'Chongqing Rail Transit', 'Chengdu–Chongqing Intercity Railway', 'Chongqing Broadcasting Group', 'Chengdu–Chongqing Railway', 'Chongqing model', 'Chongqing–Lanzhou Railway', 'Chongqing Airlines', 'Suining–Chongqing Railway', 'List of tallest buildings in Chongqing', 'Chongqing Medical University', 'Great Hall of the People (Chongqing)', 'Chongqing University of Technology', 'Chongqing Railway Station', 'Chongqing−Lichuan Railway', 'Yew Chung International School of Chongqing', 'Chongqing Guangyangba Airport', 'Chongqing hot pot', 'Chongqing Nankai Secondary School', 'List of administrative divisions of Chongqing', 'Chongqing–Guizhou High-Speed Railway', 'Chongqing University of Science and Technology', 'Xiangyang–Chongqing Railway', 'Chongqing Hot Pot', 'Chongqing Science and Technology Museum', 'Chongqing University of Posts and Telecommunications', 'Chongqing gang trials']","['29893792', '27425414', '171752', '14411770', '6711560', '8127211', '46393419', '49976729', '5318329', '20868249', '1723882', '3881049', '26328341', '43636713', '919353', '21350694', '26954831', '25029874', '49995258', '36084003', '38251709', '38251989', '26703924', '43838831', '16046083', '15037971', '14637547', '41397475', '19867628', '39193971']"
1441,hubei,"['Hubei', 'Hubei University of Chinese Medicine', 'Hubei Provincial Museum', 'Battle of West Hubei', 'Hubei cuisine', 'Encirclement Campaign against Hunan–Hubei–Jiangxi Soviet', 'Hubei University', 'Hunan–Hubei–Jiangxi Soviet', 'Qianjiang, Hubei', 'Encirclement Campaign against the Hunan-Western Hubei Soviet', 'First Encirclement Campaign against Hubei–Henan–Shaanxi Soviet', 'Fourth Encirclement Campaign against the Hubei-Henan-Anhui Soviet', 'Wuhan Zall F.C.', 'Fifth Encirclement Campaign against the Hubei-Henan-Anhui Soviet', 'List of universities and colleges in Hubei', 'Second Encirclement Campaign against Hubei–Henan–Shaanxi Soviet', 'Campaign to Suppress Bandits in the Border Region of Hunan–Hubei–Sichuan', 'Independent Division of Hubei Provincial Military District', 'Vitis silvestrii', 'Hubei Institute of Fine Arts', 'Yangxin County, Hubei', 'Xinjiang Tianshan Leopard F.C.', 'Hunan-Hubei-Sichuan-Guizhou Soviet', 'Yingshan County, Hubei', 'Hubei University of Technology', 'Hanshui', 'Tianmen', 'Shennongjia', 'Xishui County, Hubei', 'List of Major National Historical and Cultural Sites in Hubei']","['3485618', '13254675', '13633726', '27358770', '27385883', '13332037', '27385838', '1038521', '83319', '21493311', '16882534', '19619625', '28442853', '27162605', '5484365', '20887957', '20860704', '51483350', '35947969', '20824898', '4323092', '13332088', '24053589', '2832935', '27381423', '24198766', '37304659', '4129870', '19703117', '4231937']"
1442,wuhan,"['Wuhan', 'Wuhan University', 'Wuhan Open', 'Wuhan Railway Station', 'Wuhan Optics Valley F.C.', 'Wuhan Tianhe International Airport', 'Wuhan Iron and Steel Corporation', 'Wuhan Airlines', 'Wuhan Metro', 'Battle of Wuhan', 'Wuhan French International School', 'Shijiazhuang–Wuhan High-Speed Railway', 'Wuhan Greenland Center', 'Shanghai–Wuhan–Chengdu High-Speed Railway', 'Wuhan Metropolitan Area Intercity Railway', 'Wuhan Zall F.C.', 'Wuhan Iron and Steel Co., Ltd.', 'Consulate General of the United States, Wuhan', 'Zhongxian–Wuhan Pipeline', 'Wuhan University School of Law', 'Hefei–Wuhan high-speed railway', 'Wuhan–Jiujiang Railway', 'Wuhan–Xianning Intercity Railway', 'Wuhan University of Science and Technology', 'Wuhan Sports University', 'East Lake (Wuhan)', '2014 Wuhan Open – Singles', 'Wuhan–Guangzhou High-Speed Railway', 'Wuhan Hongxing Bairun F.C.', 'Wuhan Chufeng Heli F.C.']","['43863297', '2766573', '39755834', '26548603', '23672628', '30187410', '25569049', '82138', '1597646', '52292213', '47847729', '32188016', '49276878', '17538510', '3477354', '2156200', '41437126', '43339144', '9079365', '19768638', '21364501', '7545477', '1046839', '34405017', '12941165', '24198766', '25262132', '34108931', '41422918', '7775200']"
1443,hunan,"['Hunan', 'Hunan cuisine', 'Hunan Broadcasting System', 'Hunan Billows F.C.', 'Politics of Hunan', 'Hunan Television', 'Hunan University', 'Mount Heng (Hunan)', 'Hunan Normal University', 'Hunan–Guangxi Railway', 'Battle of West Hunan', 'Campaign to Suppress Bandits in Western Hunan', 'Encirclement Campaign against Hunan–Hubei–Jiangxi Soviet', 'Hunan–Hubei–Jiangxi Soviet', 'A Girl from Hunan', 'Changning City, Hunan', 'Encirclement Campaign against Hunan–Jiangxi Soviet', 'Encirclement Campaign against the Hunan-Western Hubei Soviet', 'Hunan–Jiangxi Soviet', 'High School Attached to Hunan Normal University', 'Hunan City University', 'Hunan-Hubei-Sichuan-Guizhou Soviet', 'Hunan Institute of Technology', 'Hunan University of Traditional Chinese Medicine', 'Hunan Valin Steel', 'Hunan University of Commerce', ""Hunan Women's University"", 'Hunan University of Science and Engineering', 'Hunan University of Technology', 'Yongzhou']","['23720172', '2881719', '13254795', '24702417', '13633726', '13633662', '27358770', '22016255', '166409', '20887957', '9203819', '12534997', '41797081', '42236108', '7453342', '37425328', '524984', '33202847', '42234897', '42244667', '20553539', '24334090', '42253606', '13680', '33886451', '20860704', '20837035', '6166920', '14600985', '2804715']"
1444,jiangxi,"['Jiangxi', 'Politics of Jiangxi', 'Jiangxi Air', 'Jiangxi Copper', 'Zhejiang-Jiangxi campaign', 'Anhui–Jiangxi Railway', 'Jiangxi–Fujian Soviet', 'Jiangxi Liansheng F.C.', 'Yichun, Jiangxi', 'Encirclement Campaign against Northeastern Jiangxi Soviet', 'Encirclement Campaign against Hunan–Hubei–Jiangxi Soviet', 'Jiangxi cuisine', 'Hunan–Hubei–Jiangxi Soviet', 'Encirclement Campaign against Hunan–Jiangxi Soviet', 'Second Encirclement Campaign against Jiangxi Soviet', 'Taihe County, Jiangxi', 'Jiangxi University of Traditional Chinese Medicine', 'Fourth Encirclement Campaign against Jiangxi Soviet', 'First Encirclement Campaign against Jiangxi Soviet', 'History of Jiangxi', 'Nanchang', 'Fuzhou, Jiangxi', 'Hunan–Jiangxi Soviet', 'Culture of Jiangxi', 'Jiangxi University of Technology', 'Nanchang University', 'List of Major National Historical and Cultural Sites in Jiangxi', 'Zhangshu', 'Gan Chinese-speaking people', 'Xinyu']","['31582064', '27120931', '13633726', '13633662', '13331966', '13588007', '13588077', '2058882', '23425507', '953652', '20860704', '20837035', '173817', '49135860', '12870151', '41907344', '48424064', '32125696', '5484157', '20569018', '35860264', '386882', '18381288', '14601576', '13588045', '23044881', '4006193', '2098199', '4014292', '2708648']"
1445,sichuan,"['Sichuan', 'Sichuan cuisine', 'Sichuan Guancheng F.C.', 'Sichuan Basin', 'Sichuan University', 'Sichuan Airlines', 'Politics of Sichuan', 'Sichuan pepper', 'Sichuan Normal University', 'Sichuan clique', 'Sichuan Agricultural University', 'North Sichuan Road', 'Sichuan invasion', 'Sichuan partridge', 'North Sichuan Medical University', 'List of 2008 Sichuan earthquake aftershocks', '2008 Sichuan earthquake', 'Viceroy of Sichuan', 'Sichuan Longfor F.C.', 'Min River (Sichuan)', 'Jianyang, Sichuan', 'Sichuan Airlines destinations', 'Sichuan Basin evergreen broadleaf forests', 'Sichuan Giant Panda Sanctuaries', 'Sichuan takin', 'Sichuan–Shanghai gas pipeline', ""Sichuan Provincial Women's Prison"", 'List of major power stations in Sichuan', 'Sichuan Conservatory of Music', 'List of universities and colleges in Sichuan']","['17901805', '15456341', '17456260', '28986706', '20825164', '1242032', '22303277', '14120172', '14644019', '65185', '20859217', '1591325', '13428849', '1608919', '54585562', '20686513', '5955442', '3567440', '46289404', '7784550', '48861879', '614856', '9331952', '27908', '1900495', '12191129', '47839266', '18831839', '17018476', '27766618']"
1446,southeast china,"['Southeast University', 'History of Southeast Asia', 'South China (continent)', 'List of Neolithic cultures of China', 'Southeast Asia', 'Maritime Southeast Asia', 'Mainland Southeast Asia', 'Hinduism in China', 'Shenism in Southeast Asia', 'The Mutual Protection of Southeast China', 'Buddhism in Southeast Asia', 'Overseas Chinese', 'Eastern Orthodox Metropolitanate of Hong Kong and Southeast Asia', 'Mainland Southeast Asia linguistic area', 'Southeast University School of Architecture', 'China–Myanmar relations', 'Chinese people', 'South China Sea', 'Illegal drug trade in China', 'Bamboo network', 'Geography of China', 'China–Sri Lanka relations', 'Southeast Asian studies', 'Classification schemes for Southeast Asian languages', 'List of diplomatic missions of China', 'Southeast Asia Treaty Organization', 'China–Indonesia relations', 'China–Thailand relations', 'China', 'ASEAN–China Free Trade Area']","['25646470', '39519718', '5324607', '5405', '17229756', '17647532', '32885573', '30397063', '372983', '29849199', '15981377', '23237', '3115739', '37702', '14483789', '7011454', '7563575', '52052', '37835769', '759244', '48997', '44301517', '6793862', '74209', '28741', '889148', '6344727', '919151', '33578234', '39027188']"
1447,fujian,"['Fujian', 'Fujian flu', 'Fujian Benz', 'Fujian Sturgeons', 'Fujian Province, Republic of China', 'List of administrative divisions of Fujian', 'Fujian University of Traditional Chinese Medicine', 'Fujian Fleet', 'Politics of Fujian', 'Fujian Dali Group', 'Fujian cuisine', ""Nan'an, Fujian"", ""Fujian People's Government"", 'Fujian University of Technology', 'Pucheng County, Fujian', 'Music of Fujian', 'Shijing, Fujian', 'Fujian White Crane', 'Fujian Tulou', 'Shuitou, Fujian', 'Fujian SBS Zipper Science & Technology', 'List of universities and colleges in Fujian', 'Christianity in Fujian', 'Jiangxi–Fujian Soviet', 'Fujian Medical University', 'Fujian Blue', ""Yong'an"", 'Soueast', 'Wuyishan, Fujian', 'Fujian pond turtle']","['30306886', '88585', '28418757', '20363375', '42081024', '18820545', '919026', '9749302', '1635640', '51265821', '1708381', '14258516', '919035', '919028', '2322138', '1958348', '7891547', '12507777', '20569018', '1580958', '20824285', '22598486', '18628813', '21619618', '20649756', '34856252', '34856251', '3367687', '17679805', '2454869']"
1448,guangdong,"['Guangdong', 'Politics of Guangdong', 'Guangdong Holdings', 'Guangdong Museum', '2005 Guangdong–Hong Kong Cup', 'Guangdong Television', '2010 Guangdong–Hong Kong Cup', '1989 Guangdong–Hong Kong Cup', 'Guangdong–Hong Kong Cup', '1994 Guangdong–Hong Kong Cup', 'Guangdong Southern Tigers', 'Guangdong–Hainan Railway', '2004 Guangdong–Hong Kong Cup', '1993 Guangdong–Hong Kong Cup', '1980 Guangdong–Hong Kong Cup', 'Guangdong Sunray Cave F.C.', '2007 Guangdong–Hong Kong Cup', '2008 Guangdong–Hong Kong Cup', 'Yunnan–Guangdong HVDC', 'Guangdong Evergrande VC (women)', '2001 Guangdong–Hong Kong Cup', '1979 Guangdong–Hong Kong Cup', 'Guangdong Olympic Stadium', '2003 Guangdong–Hong Kong Cup', 'Guangdong University of Business Studies', '1982 Guangdong–Hong Kong Cup', 'Lufeng, Guangdong', 'Guangdong Romanization', ""Guangdong Provincial People's Stadium"", 'Guangdong–Guangxi War']","['8670735', '8670895', '8671040', '8700695', '8746801', '8747030', '8755082', '14923077', '8772044', '8772194', '8666656', '14931566', '25163609', '65109', '28262297', '53296652', '1575901', '2372852', '4885438', '1625961', '1708329', '13998873', '6708917', '6487002', '8302303', '38397931', '8641015', '1799424', '4349690', '25693030']"
1449,dongguan,"['Dongguan', 'Dongguan Rail Transit', 'Dongcheng Subdistrict, Dongguan', 'Foshan–Dongguan Intercity Railway', 'Dongguan–Huizhou Intercity Railway', 'International School of Dongguan', 'Line 2, Dongguan Rail Transit', 'Guangzhou–Dongguan–Shenzhen Intercity Railway', 'Changping Railway Station (Guangdong)', 'Chashan', 'Guancheng Subdistrict', 'Nancheng Subdistrict, Dongguan', 'Changping, Guangdong', 'Dongguan library', 'Gaobu, Guangdong', 'Asian Tour 2013/2014 – Event 4', 'Shenzhen Leopards', 'Dongguan Street (Yangzhou)', 'Dongguan Middle School-SSL School', 'Qingxi, Dongguan', 'Mount Guanyin (Dongguan)', 'Meizhou Meixian Techand F.C.', 'South China Mall', 'Shilong, Guangdong', '2011 China League Two', 'Houjie', 'Dongguan Church', 'Liang Guoying', 'Keyuan', 'Shilong Railway Station']","['31714839', '42117653', '9662368', '11485341', '1737545', '23982076', '713742', '21995085', '45408932', '32743688', '33149586', '40483329', '44980712', '44990570', '14867501', '23982067', '44987496', '14867523', '47951935', '19340195', '43753849', '41298483', '38254953', '52564442', '23982083', '1137885', '3188545', '4437819', '15464716', '7889220']"
1450,guangzhou,"['Guangzhou', 'Guangzhou Metro', 'Guangzhou Evergrande Taobao F.C.', 'Guangzhou Railway Station', 'Auto Guangzhou', 'Guangzhou International Finance Center', 'Guangzhou South Railway Station', 'Guangzhou Uprising', 'Guangzhou CTF Finance Centre', 'Timeline of Guangzhou', 'Japanese School of Guangzhou', 'Guangzhou Baiyun International Airport', 'Port of Guangzhou', 'Guangzhou–Zhuhai Intercity Railway', 'Guangzhou Library', 'Beijing–Guangzhou Railway', 'Guangzhou Automobile Industry Group', 'Guangzhou–Qingyuan Intercity Railway', 'Guangzhou University', ""People's Park (Guangzhou)"", 'Guangzhou Bus Rapid Transit', 'List of tallest buildings in Guangzhou', 'Guangzhou Higher Education Mega Center', 'Line 6, Guangzhou Metro', 'Guangzhou–Foshan–Zhaoqing Intercity Railway', 'Happy Valley (Guangzhou)', 'Guangzhou Nanfang International School', 'Guangzhou Opera House', '2012 Guangzhou Evergrande F.C. season', 'Guangzhou Academy of Fine Arts']","['33973106', '6129795', '6179470', '12537', '21361121', '27496119', '810251', '29309020', '26108584', '9413800', '20737870', '8101697', '27413363', '1484327', '47952719', '26320723', '14590200', '20844879', '1855578', '2284527', '45050804', '45022936', '22278441', '41427221', '45026698', '27917059', '14977833', '42571676', '10808021', '38813447']"
1451,shenzhen,"['Shenzhen', 'Shenzhen Airlines', ""Shenzhen Bao'an International Airport"", 'Shenzhen Metro', 'Port of Shenzhen', 'Shenzhen Railway Station', 'Shenzhen F.C.', 'List of tallest buildings in Shenzhen', 'List of lists of roads in Shenzhen', 'Shenzhen North Railway Station', 'Korean International School in Shenzhen', 'QSI International School of Shenzhen', 'Shenzhen University', 'Civic Center (Shenzhen)', 'Shenzhen Japanese School', 'Shenzhen Pingshan Railway Station', 'Shenzhen Tong', 'Shenzhen Middle School', 'Nanshan District, Shenzhen', 'Shenzhen Bay Sports Center', 'Shenzhen Stock Exchange', 'Happy Valley Shenzhen', 'Shenzhen West Railway Station', 'Shenzhen Universiade Sports Centre', 'Shenzhen (comics)', 'Line 4, Shenzhen Metro', 'Xiamen–Shenzhen Railway', 'Line 6, Shenzhen Metro', 'Shenzhen Tram', 'Guangzhou–Dongguan–Shenzhen Intercity Railway']","['49763317', '44987496', '1774626', '46896545', '23951438', '33051351', '51209330', '14062400', '7655590', '10808812', '28912047', '83368', '11197114', '1051573', '1650413', '30841131', '1234024', '45044709', '1372941', '22549804', '20838134', '26441812', '8574186', '331672', '1493022', '41507359', '18171094', '3804886', '33093489', '32056185']"
1452,hainan,"['Hainan', 'Hainan Airlines', 'Hainan black crested gibbon', 'Politics of Hainan', 'Guangdong–Hainan Railway', 'Hainan Eastern Ring High-Speed Railway', 'Hainan Medical University', 'Hainan Boying F.C.', 'Hainan partridge', 'Hainan Museum', 'Hainan peacock-pheasant', 'Hainan Television', 'Hainan hare', 'List of islands of Hainan', 'Hainan people', 'Hainan Island Operation', 'Hainan Airlines destinations', 'G98 Hainan Ring Expressway', 'List of Major National Historical and Cultural Sites in Hainan', 'Hainan Exhibition & Convention Center', 'Hainan yellow lantern chili', 'Landing Operation on Hainan Island', 'Hainan University', 'Hainan Island incident', 'List of administrative divisions of Hainan', '2011 Hainan Classic', 'Hainan Tibetan Autonomous Prefecture', 'Hainanese', 'Danzhou', 'Hainan Western Ring Railway']","['31181930', '13089241', '22899597', '38397931', '166411', '1594112', '10639266', '49276862', '26393158', '35347166', '6695944', '2243939', '21333589', '34365716', '32076220', '3524842', '21276744', '37963291', '18210969', '9741289', '12191055', '26205042', '2196608', '30945543', '1958764', '15191556', '35649259', '12852021', '46709088', '14712950']"
1453,southwest china,"['Southwest University', 'China Southwest Airlines Flight 4509', 'China Southwest Airlines', '2013 Southwest China floods', 'Southwest Jiaotong University', 'South China', 'Southwest Airlines', 'Southwest Cay', 'Southwest University of Political Science & Law', 'Air China', 'List of Neolithic cultures of China', 'Southwest (disambiguation)', 'National Southwestern Associated University', 'China Southwest Airlines Flight 4146', 'Southwest Medical University', 'Geography of China', 'Southwestern Mandarin', 'China', 'Illegal drug trade in China', 'China Express Airlines', 'Red Cross Society of China', 'Rail transport in China', 'South by Southwest', 'Sexuality in China', 'Southwest Houston', 'Geology of China', 'Geothermal power in China', 'Music of China', 'PKU Healthcare', 'Northern and southern China']","['39926794', '297958', '5405', '11442489', '1643970', '36675722', '10132619', '23237', '14115146', '20199345', '14483789', '7011454', '247756', '2999850', '923361', '53336351', '42099152', '14651889', '13180488', '43124222', '4130245', '354095', '63032', '1142580', '12673806', '5401121', '49236827', '4528864', '919347', '4440157']"
1454,guangxi,"['Guangxi', 'Guangxi University', 'New Guangxi clique', 'Guangxi Arts Institute', 'Guangxi Medical University', 'Hunan–Guangxi Railway', 'Guangdong–Guangxi War', 'Guizhou–Guangxi Railway', 'Yunnan–Guangxi War', 'Guangxi Longguida F.C.', 'Battle of South Guangxi', 'Dongxing, Guangxi', 'Yulin, Guangxi', 'List of universities and colleges in Guangxi', 'Campaign to Suppress Bandits in Western Guangxi', '2010 Guangxi Wildfire', 'Liangguang', 'Baise', 'Pingxiang, Guangxi', 'Viceroy of Liangguang', 'LiuGong', 'Nanning', 'List of township-level divisions of Guangxi', 'Xinning, Guangxi', 'GX Airlines', 'List of Major National Historical and Cultural Sites in Guangxi', 'Liuzhou', 'Hechi', 'Pinghua', 'Fangchenggang']","['26467522', '4155959', '3485320', '22734732', '24605785', '4153780', '48191051', '8302303', '47836950', '17518602', '46461756', '16910466', '3405577', '38970194', '4208389', '33886451', '11129744', '35695554', '34493513', '20821547', '28937857', '1124071', '412721', '8320072', '1600969', '4179278', '11129939', '38171020', '996106', '18511265']"
1455,guizhou,"['Guizhou', 'Politics of Guizhou', 'Guizhou Hengfeng Zhicheng F.C.', 'Colorful Guizhou Airlines', 'Yunnan–Guizhou Plateau', 'Guizhou Aircraft Industry Corporation', 'Guizhou–Guangxi Railway', 'Guizhou University', 'Sichuan–Guizhou Railway', 'Chongqing–Guizhou High-Speed Railway', 'Campaign to Suppress Bandits in northeastern Guizhou', 'Guizhou cuisine', 'Guizhou Soar Dragon', 'List of unrecognized ethnic groups of Guizhou', 'Guiyang', '2012 Guizhou Renhe F.C. season', 'Guizhou JL-9', 'Guizhou pony', 'Ronggui Subdistrict', 'List of Major National Historical and Cultural Sites in Guizhou', 'Guizhou salamander', 'Hunan-Hubei-Sichuan-Guizhou Soviet', 'Guizhou WZ-2000', 'Zunyi', ""2008 Weng'an riot"", 'Liupanshui', 'Guizhou Rural Tourism Development Center', 'Duyun', 'Qianxi County, Guizhou', 'Fan Yunlong']","['18236393', '35055235', '13239231', '38251709', '48029958', '6703109', '38263386', '356195', '173815', '7329849', '16893957', '14693611', '50869664', '33283973', '3405735', '6313696', '5484246', '15149947', '38679408', '38970194', '20887957', '35904341', '38173874', '8924851', '14859990', '24662083', '48892061', '40250634', '12645140', '2672964']"
1456,tibet,"['Tibet', 'History of Tibet', 'Outline of Tibet', 'Tibet (1912–51)', 'Tibet under Yuan rule', 'Tibet Autonomous Region', 'Geography of Tibet', 'Tibet Airlines', 'Tibet under Qing rule', 'Seven Years in Tibet', 'Flag of Tibet', 'Free Tibet', 'Tibet Area (administrative division)', 'History of European exploration in Tibet', ""Incorporation of Tibet into the People's Republic of China"", 'Serfdom in Tibet controversy', 'Chinese expedition to Tibet (1720)', 'Postage stamps and postal history of Tibet', 'History of Tibet (1950–present)', 'British expedition to Tibet', 'Emblem of Tibet', '1938–39 German expedition to Tibet', 'Tintin in Tibet', 'Qinghai–Tibet Railway', 'Tibet–Ladakh–Mughal War', 'List of modern political leaders of Tibet', 'Qinghai–Tibet War', 'Mongol invasions of Tibet', 'Sinicization of Tibet', 'Foreign relations of Tibet']","['10661966', '6740961', '47412736', '11925326', '1653070', '867821', '37431172', '320375', '11242499', '429581', '11145219', '14615536', '16305238', '25086138', '16993046', '19387874', '711553', '27891743', '17446193', '202132', '18757163', '31516', '21996658', '28450446', '35698902', '54753', '45499615', '30577431', '40505725', '511343']"
1457,yunnan,"['Yunnan', 'Yunnan Tin', 'Transport in Yunnan', 'List of universities and colleges in Yunnan', 'Yunnan cuisine', 'Yunnan–Guizhou Plateau', 'China Yunnan Airlines', 'HIV/AIDS in Yunnan', 'Yunnan Agricultural University', 'Yunnan Hongta F.C.', 'Yunnan Baiyao', 'Yunnan clique', 'History of Yunnan', 'Yunnan nuthatch', 'Yunnan–Guangdong HVDC', 'Yunnan horse', 'Yunnan–Burma Railway', 'Yunnan Nationalities University', 'Baoshan, Yunnan', 'Yunnan Nationalities Museum', 'Yunnan box turtle', 'List of administrative divisions of Yunnan', 'Yunnan lar gibbon', 'Yunnan University of Finance and Economics', 'Yunnan University', 'Eighteen Oddities', 'Yunnan, Singapore', 'HMAS Yunnan', 'Yunnan–Guangxi War', '2012 Yunnan earthquakes']","['36944218', '3929614', '1643963', '14480882', '11714132', '33028326', '962374', '7170272', '19736618', '19745464', '166410', '10792068', '17929546', '11488360', '6899194', '17909585', '17914073', '21546218', '7121931', '10312395', '12507245', '6255916', '2197250', '23289262', '24094063', '12483193', '20853514', '25693030', '18511265', '12645140']"
1458,hong kong,"['Hong Kong', 'Cinema of Hong Kong', 'Royal Hong Kong Regiment', 'Sport in Hong Kong', 'Demographics of Hong Kong', 'Hong Kong people', 'Transport in Hong Kong', 'Battle of Hong Kong', 'Hong Kong cuisine', 'Culture of Hong Kong', 'History of Hong Kong', 'Hong Kong Island (constituency)', 'British Hong Kong', 'Miss Hong Kong Pageant', 'Outline of Hong Kong', 'Australia–Hong Kong relations', 'Conservation in Hong Kong', 'Environment of Hong Kong', 'Emblem of Hong Kong', 'Hong Kong Island', 'Geography of Hong Kong', 'Governor of Hong Kong', 'Hong Kong national football team', 'Hong Kong Identity Card', 'Hong Kong Tramways', 'Hong Kong independence', 'Chief Executive of Hong Kong', '2014 Hong Kong protests', 'Football in Hong Kong', 'Hong Kong Observatory']","['43971623', '36882197', '1160238', '27413692', '273754', '422001', '2102224', '393272', '13407', '1774953', '267535', '23216238', '13406', '273756', '1146443', '13404', '4621333', '180697', '3289107', '21292238', '267236', '1701360', '30830794', '1197359', '20779891', '1046607', '16278822', '1821224', '2633143', '13411']"
1459,japan,"['Japan', 'History of Japan', 'Empire of Japan', 'Occupation of Japan', 'X Japan', 'Surrender of Japan', 'Demography of Japan', 'Prefectures of Japan', 'Geography of Japan', 'Japan Airlines', 'Outline of Japan', 'Economy of Japan', 'Culture of Japan', 'Christianity in Japan', 'Japan–United Kingdom relations', 'Yahoo! Japan', 'Education in Japan', 'Flag of Japan', 'Pornography in Japan', 'Japan Self-Defense Forces', 'The Japan Times', 'Religion in Japan', 'Toilets in Japan', 'Cinema of Japan', 'Emperor of Japan', 'France–Japan relations', 'Germany–Japan relations', 'Japan–United States relations', 'Buddhism in Japan', 'Foreign relations of Japan']","['297220', '4304965', '10790', '167104', '15576', '15578', '379031', '10110', '183897', '144954', '15582', '2066734', '15575', '2140913', '25890428', '15573', '197676', '2785204', '1214422', '2991012', '87995', '16278867', '311996', '74517', '166254', '2395137', '163953', '1049187', '305752', '873350']"
